show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,popularity,vote_count,vote_average,budget,revenue
10192,Movie,Shrek Forever After,Mike Mitchell,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Walt Dohrn",United States of America,2010-05-16,2010,6.38,,"Comedy, Adventure, Fantasy, Animation, Family",en,203.893,7449,6.38,165000000.0,752600867.0
27205,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page","United Kingdom, United States of America",2010-07-15,2010,8.369,,"Action, Science Fiction, Adventure",en,156.242,37119,8.369,160000000.0,839030630.0
12444,Movie,Harry Potter and the Deathly Hallows: Part 1,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones, Helena Bonham Carter","United Kingdom, United States of America",2010-11-17,2010,7.744,,"Adventure, Fantasy",en,121.191,19327,7.744,250000000.0,954305868.0
38757,Movie,Tangled,"Byron Howard, Nathan Greno","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey",United States of America,2010-11-24,2010,7.6,,"Animation, Family, Adventure",en,111.762,11638,7.6,260000000.0,592461732.0
10191,Movie,How to Train Your Dragon,"Chris Sanders, Dean DeBlois","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill",United States of America,2010-03-18,2010,7.8,,"Fantasy, Adventure, Animation, Family",en,110.044,13259,7.8,165000000.0,494879471.0
11324,Movie,Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",United States of America,2010-02-14,2010,8.2,,"Drama, Thriller, Mystery",en,101.551,24282,8.2,80000000.0,294804195.0
38575,Movie,The Karate Kid,Harald Zwart,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Wang ZhenWei","China, Hong Kong, United States of America",2010-06-10,2010,6.5,,"Action, Adventure, Drama, Family",en,96.385,6082,6.5,40000000.0,359126022.0
10138,Movie,Iron Man 2,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",United States of America,2010-04-28,2010,6.8,,"Adventure, Action, Science Fiction",en,95.255,21222,6.8,200000000.0,623933331.0
38365,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider",United States of America,2010-06-24,2010,6.394,,Comedy,en,93.281,6212,6.394,80000000.0,271430189.0
48650,Movie,Room in Rome,Julio Medem,"Elena Anaya, Natasha Yarovenko, Enrico Lo Verso, Najwa Nimri, Ander Malles","France, Spain",2010-05-07,2010,6.416,,"Drama, Romance",es,90.23,748,6.416,,844281.0
20352,Movie,Despicable Me,"Pierre Coffin, Chris Renaud","Steve Carell, Jason Segel, Miranda Cosgrove, Elsie Fisher, Dana Gaier",United States of America,2010-07-08,2010,7.2,,"Animation, Family, Comedy",en,86.361,15258,7.2,69000000.0,543284256.0
