genres,type,contenidos,popularidad_promedio,calificacion_promedio
Action,Movie,3239,32.21445754862612,6.073125656066687
Action & Adventure,TV Show,1988,67.40017002012073,6.762400905432596
Adventure,Movie,1768,35.46935407239819,6.295424773755656
Animation,Movie,1579,28.6116409119696,6.741792273590881
Animation,TV Show,2490,56.28156844640706,6.6866254516258525
Comedy,Movie,4533,19.418328480035296,6.073928082947276
Comedy,TV Show,4572,66.32921673585318,6.059599082368363
Crime,Movie,1738,21.60059321058688,6.182608170310702
Crime,TV Show,1465,63.17565870307167,6.463430716723549
Documentary,Movie,916,11.136934497816595,6.094337336244541
Documentary,TV Show,909,45.72390450054885,5.22784193194292
Drama,Movie,6910,16.71985962373372,6.160090448625181
Drama,TV Show,7859,64.13173226544623,5.7213273582507
Family,Movie,1472,28.364883831521738,6.473991847826087
Family,TV Show,1542,81.5347542153048,5.499728923476005
Fantasy,Movie,1450,25.23815517241379,6.296878620689656
History,Movie,732,16.10071174863388,6.669564207650273
Horror,Movie,2425,21.44715175257732,5.43684824742268
Kids,TV Show,835,66.36234371257486,5.8736526946107785
Music,Movie,488,14.913776639344261,6.530364754098361
Mystery,Movie,1242,17.42774154589372,6.014322866344605
Mystery,TV Show,1332,55.97331859070465,6.455868065967017
News,TV Show,113,102.00029203539823,4.045787610619469
Reality,TV Show,1630,79.26933639705882,5.111215073529412
Romance,Movie,2571,19.166187475690393,5.957180085569817
Sci-Fi & Fantasy,TV Show,1958,61.434432584269665,6.742640960163432
Science Fiction,Movie,1454,34.28880949105915,5.940332187070152
Soap,TV Show,631,155.4580142630745,5.1880206022187005
TV Movie,Movie,628,10.443264331210191,6.222007961783439
Talk,TV Show,654,130.4310641221374,4.165558778625954
Thriller,Movie,3769,24.490539665693817,5.843898912178297
Unknown,TV Show,99,49.93604807692308,5.699115384615384
War,Movie,420,22.301735714285712,6.55367619047619
War & Politics,TV Show,323,51.89260061919505,5.646965944272446
Western,Movie,126,16.858396825396824,6.087674603174603
Western,TV Show,28,97.95925,6.738071428571429
