genres,contenidos,popularidad_promedio,calificacion_promedio
Drama,14688,41.959558473199785,5.926515024363833
Comedy,9059,42.987059055982435,6.0667289791437975
Animation,4062,45.54672432432432,6.708028009828009
Thriller,3769,24.490539665693817,5.843898912178297
Action,3239,32.21445754862612,6.073125656066687
Crime,3199,40.61635060880425,6.311051826412738
Family,3008,55.567252820172534,5.975546781685467
Mystery,2571,37.38884394409938,6.242980201863354
Romance,2571,19.166187475690393,5.957180085569817
Horror,2425,21.44715175257732,5.43684824742268
Action & Adventure,1988,67.40017002012073,6.762400905432596
Sci-Fi & Fantasy,1958,61.434432584269665,6.742640960163432
Documentary,1824,28.383091954022987,5.662275314723591
Adventure,1768,35.46935407239819,6.295424773755656
Reality,1630,79.26933639705882,5.111215073529412
Science Fiction,1454,34.28880949105915,5.940332187070152
Fantasy,1450,25.23815517241379,6.296878620689656
Kids,835,66.36234371257486,5.8736526946107785
History,732,16.10071174863388,6.669564207650273
Talk,654,130.4310641221374,4.165558778625954
Soap,631,155.4580142630745,5.1880206022187005
TV Movie,628,10.443264331210191,6.222007961783439
Music,488,14.913776639344261,6.530364754098361
War,420,22.301735714285712,6.55367619047619
War & Politics,323,51.89260061919505,5.646965944272446
Western,154,31.604006493506493,6.205928571428571
News,113,102.00029203539823,4.045787610619469
Unknown,99,49.93604807692308,5.699115384615384
