language,contenidos
en,13875
zh,2834
ja,2783
ko,2240
es,1645
fr,1638
de,729
hi,635
tl,525
pt,483
ru,437
it,436
tr,424
ar,374
nl,335
cn,302
th,287
pl,190
sv,173
da,164
no,155
id,99
cs,94
he,87
ta,81
el,78
ur,71
fi,70
te,49
hu,43
fa,40
af,35
ca,35
ml,35
sr,34
ro,34
ms,34
bn,30
sk,29
uk,28
hr,20
is,19
vi,19
lt,18
bg,16
et,11
kn,9
lv,9
xx,9
ka,7
mr,6
km,5
sl,5
mk,5
zu,4
mn,4
am,4
pa,4
gl,4
si,4
ne,3
kk,3
ga,3
cy,3
eu,2
dz,2
bs,2
ky,2
ku,2
nb,2
lb,2
hy,2
la,2
as,1
az,1
mi,1
kl,1
ht,1
mt,1
ps,1
or,1
za,1
yo,1
