country,contenidos,popularidad_promedio,calificacion_promedio,participacion_catalogo,popularidad_normalizada,oportunidad_proxy
Portugal,112,144.16296428571428,4.0482410714285715,0.0035,0.45214830098392383,0.45056578193048014
South Africa,126,90.26387301587302,6.358761904761904,0.0039375,0.28310084373313577,0.28198613416093654
Brazil,433,83.2492286374134,6.1404688221709005,0.01353125,0.261100328181575,0.2575673143658681
Slovakia,43,81.67751162790698,4.698511627906977,0.00134375,0.25617084314360483,0.25582661357313063
Greece,95,75.1198,6.278547368421052,0.00296875,0.23560343746079535,0.23490398975583363
Colombia,132,75.09847727272727,6.229477272727273,0.004125,0.23553656151275643,0.23456497319651629
Philippines,536,68.72854291044777,2.7785279850746267,0.01675,0.2155580946883947,0.2119474966023641
Chile,172,67.11506976744185,4.17628488372093,0.005375,0.2104976469936076,0.20936622214101694
Mexico,568,61.421875219683656,6.307144112478031,0.01775,0.19264168617389177,0.18922229624430517
Lebanon,30,51.7507,4.889399999999999,0.0009375,0.16230930874419772,0.16215714376725002
Turkey,407,52.353813267813265,6.600609336609336,0.01271875,0.16420089470522287,0.1621124645756908
Netherlands,273,51.78242857142857,5.610069597069597,0.00853125,0.16240882126279188,0.1610232710063937
Singapore,60,50.18343333333333,4.42465,0.001875,0.1573937816250575,0.15709866828451052
India,912,50.89398574561404,5.3004692982456145,0.0285,0.15962233642458296,0.15507309983648235
Czech Republic,139,47.80348201438849,5.259690647482015,0.00434375,0.14992937528035533,0.1492781195564813
South Korea,2173,45.97652897884085,5.936085096596137,0.06790625,0.14419937579613865,0.13440733693348209
Hungary,84,41.711440476190475,6.045047619047619,0.002625,0.1308224829889301,0.13047907397108416
Venezuela,33,38.77212121212121,4.513,0.00103125,0.12160369217200229,0.1214782883644499
Spain,821,39.57947445255475,6.074141119221411,0.02565625,0.12413585012092192,0.120950989716257
Israel,102,38.25460784313725,5.9543921568627445,0.0031875,0.1199805791090743,0.11959814101316411
Malaysia,66,37.71639393939394,4.302757575757576,0.0020625,0.1182925415236292,0.11804856315673672
Canada,1713,39.719964452214455,5.56484965034965,0.05353125,0.12457647864827014,0.11790774402562992
Poland,245,37.125685714285716,5.468195918367347,0.00765625,0.11643986235819129,0.11554836966201139
Egypt,214,36.78095327102804,4.176252336448598,0.0066875,0.11535865409304992,0.11458719309380265
China,2399,39.34238891204669,5.5013013755731555,0.07496875,0.12339226230098696,0.11414169863660983
Japan,2867,39.70318948101707,6.6145862068965515,0.08959375,0.12452386614294651,0.1133673060107019
Ukraine,61,35.90245901639344,5.79939344262295,0.00190625,0.11260337164845514,0.11238872147125027
Argentina,197,35.35569035532995,5.738152284263959,0.00615625,0.1108885031844497,0.11020584583672044
Ireland,235,35.25303404255319,6.060736170212766,0.00734375,0.11056653507261695,0.10975456208067742
Germany,1159,35.61409568965517,5.492628448275862,0.03621875,0.11169895775202349,0.10765336112594238
New Zealand,88,33.60573863636363,5.896829545454546,0.00275,0.10540000826861005,0.10511015824587137
Bulgaria,76,32.57934210526316,5.957815789473684,0.002375,0.1021808496589611,0.10193817014102106
Russia,423,32.23788179669031,5.934536643026005,0.01321875,0.10110990401671781,0.09977335747299683
Sweden,318,32.071921383647805,6.038084905660377,0.0099375,0.10058939086578786,0.09958978379405908
Australia,452,32.03538274336283,6.0799358407079644,0.014125,0.10047479219471468,0.09905558575496433
Hong Kong,478,31.796741127348643,5.394062630480167,0.0149375,0.09972632394727336,0.09823666198331096
Romania,62,31.091967741935484,6.522629032258065,0.0019375,0.09751589431042366,0.09732695726519722
Serbia,51,30.969686274509804,5.829352941176471,0.00159375,0.09713237446527977,0.09697756974347573
Taiwan,223,30.614448430493272,5.313076233183857,0.00696875,0.09601821738330595,0.09534909043091604
Thailand,304,30.61349013157895,5.775016447368421,0.0095,0.09601521180397361,0.09510306729183587
United Kingdom,2605,32.96730701418168,6.199971253353776,0.08140625,0.10339765090384417,0.09498043588495311
Denmark,281,30.408231316725978,6.316163701067616,0.00878125,0.09537144435053937,0.0945339638548362
Pakistan,68,28.927632352941174,7.613235294117648,0.002125,0.09072773915738669,0.09053494271167724
Norway,214,28.234551401869158,5.976532710280374,0.0066875,0.0885539813131011,0.08796177656306975
United States Of America,10901,42.486222161372766,6.236586801752464,0.34065625,0.13325248451064095,0.08785919283406292
France,2107,29.842618595825424,6.173560721062619,0.06584375,0.09359747395504146,0.0874346652793142
Indonesia,105,27.23913333333333,5.343838095238095,0.00328125,0.08543198260360473,0.08515165891068664
Austria,127,27.227141732283464,5.386401574803149,0.00396875,0.08539437251374815,0.08505546359783421
United Arab Emirates,45,27.080565217391303,5.9105869565217395,0.00140625,0.0849346544266444,0.08481521506885692
Belgium,646,27.36058513931889,5.963513931888545,0.0201875,0.08581290032404619,0.0840805523987545
Finland,115,26.433260869565217,5.331034782608695,0.00359375,0.0829044689172162,0.08260653098204496
Switzerland,133,23.912458646616543,6.164421052631579,0.00415625,0.07499830211584663,0.07468659042267764
Italy,609,23.503720853858784,6.2746683087027915,0.01903125,0.07371634943501061,0.07231343515982556
Iran,36,19.286694444444446,6.075555555555556,0.001125,0.060490197103388675,0.06042214563164736
Iceland,45,18.950333333333333,6.564888888888889,0.00140625,0.05943524442771714,0.059351663615240656
Luxembourg,72,16.21247222222222,6.507694444444445,0.00225,0.050848300784789295,0.05073389210802352
