title,type,popularity,vote_average,vote_count,release_year
The Late Show with Stephen Colbert,TV Show,6421.923,6.493,288,2015
The Tonight Show Starring Jimmy Fallon,TV Show,4925.253,5.8,321,2014
The Gorge,Movie,3876.006,7.785,1572,2025
Good Mythical Morning,TV Show,3414.466,6.8,67,2012
Flight Risk,Movie,3320.616,6.0,350,2025
Chronicles of the Sun,TV Show,2987.485,6.8,117,2018
Volta por Cima,TV Show,2885.72,5.781,16,2024
She's the One,TV Show,2862.872,8.1,9,2024
Mufasa: The Lion King,Movie,2643.627,7.467,1497,2024
Crazy About You,TV Show,2442.243,5.2,16,2024
