title,type,popularity,vote_average,vote_count,release_year
GH dúo,TV Show,2379.884,6.5,4,2019
Late Night with Seth Meyers,TV Show,2395.016,5.4,98,2014
La Casa de los Famosos Colombia,TV Show,2398.165,6.6,27,2024
Crazy About You,TV Show,2442.243,5.2,16,2024
She's the One,TV Show,2862.872,8.1,9,2024
Volta por Cima,TV Show,2885.72,5.781,16,2024
Chronicles of the Sun,TV Show,2987.485,6.8,117,2018
Good Mythical Morning,TV Show,3414.466,6.8,67,2012
The Tonight Show Starring Jimmy Fallon,TV Show,4925.253,5.8,321,2014
The Late Show with Stephen Colbert,TV Show,6421.923,6.493,288,2015
