country,contenidos,popularidad_promedio,calificacion_promedio
United States Of America,10901,42.486222161372766,6.236586801752464
Japan,2867,39.70318948101707,6.6145862068965515
United Kingdom,2605,32.96730701418168,6.199971253353776
China,2399,39.34238891204669,5.5013013755731555
South Korea,2173,45.97652897884085,5.936085096596137
France,2107,29.842618595825424,6.173560721062619
Canada,1713,39.719964452214455,5.56484965034965
Germany,1159,35.61409568965517,5.492628448275862
India,912,50.89398574561404,5.3004692982456145
Spain,821,39.57947445255475,6.074141119221411
Belgium,646,27.36058513931889,5.963513931888545
Italy,609,23.503720853858784,6.2746683087027915
Mexico,568,61.421875219683656,6.307144112478031
Philippines,536,68.72854291044777,2.7785279850746267
Hong Kong,478,31.796741127348643,5.394062630480167
Australia,452,32.03538274336283,6.0799358407079644
Brazil,433,83.2492286374134,6.1404688221709005
Russia,423,32.23788179669031,5.934536643026005
Turkey,407,52.353813267813265,6.600609336609336
Sweden,318,32.071921383647805,6.038084905660377
Thailand,304,30.61349013157895,5.775016447368421
Denmark,281,30.408231316725978,6.316163701067616
Netherlands,273,51.78242857142857,5.610069597069597
Poland,245,37.125685714285716,5.468195918367347
Ireland,235,35.25303404255319,6.060736170212766
Taiwan,223,30.614448430493272,5.313076233183857
Norway,214,28.234551401869158,5.976532710280374
Egypt,214,36.78095327102804,4.176252336448598
Argentina,197,35.35569035532995,5.738152284263959
Chile,172,67.11506976744185,4.17628488372093
Czech Republic,139,47.80348201438849,5.259690647482015
Switzerland,133,23.912458646616543,6.164421052631579
Colombia,132,75.09847727272727,6.229477272727273
Austria,127,27.227141732283464,5.386401574803149
South Africa,126,90.26387301587302,6.358761904761904
Finland,115,26.433260869565217,5.331034782608695
Portugal,112,144.16296428571428,4.0482410714285715
Indonesia,105,27.23913333333333,5.343838095238095
Israel,102,38.25460784313725,5.9543921568627445
Greece,95,75.1198,6.278547368421052
New Zealand,88,33.60573863636363,5.896829545454546
Hungary,84,41.711440476190475,6.045047619047619
Bulgaria,76,32.57934210526316,5.957815789473684
Luxembourg,72,16.21247222222222,6.507694444444445
Pakistan,68,28.927632352941174,7.613235294117648
Malaysia,66,37.71639393939394,4.302757575757576
Romania,62,31.091967741935484,6.522629032258065
Ukraine,61,35.90245901639344,5.79939344262295
Singapore,60,50.18343333333333,4.42465
Serbia,51,30.969686274509804,5.829352941176471
United Arab Emirates,45,27.080565217391303,5.9105869565217395
Iceland,45,18.950333333333333,6.564888888888889
Slovakia,43,81.67751162790698,4.698511627906977
Iran,36,19.286694444444446,6.075555555555556
Venezuela,33,38.77212121212121,4.513
Lebanon,30,51.7507,4.889399999999999
Morocco,28,30.49775862068966,6.250137931034482
Croatia,27,63.6682962962963,4.74125925925926
Saudi Arabia,26,26.522,5.854230769230769
Estonia,25,24.46904,5.80524
Lithuania,24,37.04895833333333,5.013916666666667
Vietnam,23,22.134826086956522,5.341086956521739
Syrian Arab Republic,23,34.397652173913045,2.9782608695652173
Peru,22,49.16045454545454,3.872727272727273
Uruguay,20,19.8702,6.11815
Puerto Rico,19,31.194736842105264,5.668894736842105
Georgia,18,29.172111111111107,5.663777777777778
Iraq,18,27.783166666666666,3.1483333333333334
Latvia,15,55.58406666666667,5.8274
Malta,14,24.7405,5.722428571428572
Qatar,13,12.785692307692308,7.0762307692307695
Slovenia,13,25.763076923076923,4.139538461538462
Dominican Republic,13,17.33315384615385,4.890461538461539
Cuba,11,10.726545454545453,6.698636363636364
Nigeria,10,22.6611,5.5085
Jordan,9,27.34,6.533333333333333
Kazakhstan,9,31.903000000000002,5.242666666666667
Cyprus,9,137.4261111111111,4.655555555555555
Cambodia,9,16.72922222222222,6.651888888888888
