title,type,popularity,vote_average,vote_count,release_year
Kraven the Hunter,Movie,1195.885,6.7,1333,2024
Panda Plan,Movie,1214.508,7.055,146,2024
Companion,Movie,1283.362,7.0,610,2025
Captain America: Brave New World,Movie,1495.724,6.179,833,2025
Amaran,Movie,1780.289,7.44,175,2024
Moana 2,Movie,2347.007,7.1,1758,2024
Sonic the Hedgehog 3,Movie,2402.503,7.742,2047,2024
Mufasa: The Lion King,Movie,2643.627,7.467,1497,2024
Flight Risk,Movie,3320.616,6.0,350,2025
The Gorge,Movie,3876.006,7.785,1572,2025
